ReadableTime,RelativeTime(s),engine_power,Force_1,Force_2,Torque,engine_force,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4
20:27:48.002,8.056,1.073765,-0.075848,-0.273177,-37.184082,0.121480,4.790000,3702.750000,354.000000,106.000000,84.000000,-128.000000,8839.000000,25.500000,88.400002,10.000000,11.000000,12.000000,27.220000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:48.113,8.167,1.073765,0.022816,-0.075848,-17.451236,0.121480,4.790000,3702.750000,354.000000,106.000000,84.000000,-128.000000,8839.000000,25.500000,88.400002,10.000000,11.000000,12.000000,27.220000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:48.219,8.273,2.069139,-0.075848,-0.273177,-37.184082,0.220145,-6.000000,4206.750000,376.000000,113.000000,-164.000000,-117.000000,9399.000000,25.500000,94.000000,10.000000,11.000000,12.000000,27.210000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:48.328,8.382,3.923829,-0.075848,-0.273177,-27.317659,0.417473,-6.000000,4206.750000,376.000000,113.000000,-164.000000,-117.000000,9399.000000,25.500000,94.000000,10.000000,11.000000,12.000000,27.220000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:48.440,8.494,2.153894,-0.075848,-0.273177,-27.317659,0.220145,-11.490000,4605.750000,392.000000,117.000000,-159.000000,-110.000000,9784.000000,25.500000,97.800003,10.000000,11.000000,12.000000,27.220000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:48.551,8.605,0.225994,-0.174512,-0.174512,-27.317659,0.022816,-12.960000,4742.750000,396.000000,119.000000,-157.000000,-108.000000,9905.000000,25.500000,99.099998,10.000000,11.000000,12.000000,27.220000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:48.663,8.717,2.180532,-0.075848,-0.174512,-27.317659,0.220145,-12.960000,4742.750000,396.000000,119.000000,-157.000000,-108.000000,9905.000000,25.500000,99.099998,10.000000,11.000000,12.000000,27.220000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:48.768,8.822,-0.758481,-0.075848,-0.174512,-37.184082,-0.075848,-13.840000,4812.000000,400.000000,120.000000,-156.000000,-106.000000,10000.000000,25.500000,100.000000,10.000000,11.000000,12.000000,27.220000,27.580000,27.920000,20.000000,21.000000,22.000000,23.000000
20:27:48.877,8.931,2.201446,-0.075848,-0.273177,-37.184082,0.220145,-13.840000,4812.000000,400.000000,120.000000,-156.000000,-106.000000,10000.000000,25.500000,100.000000,10.000000,11.000000,12.000000,27.220000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
20:27:48.987,9.041,3.154932,-0.075848,-0.174512,-37.184082,0.318809,-12.960000,4674.000000,396.000000,119.000000,-157.000000,-108.000000,9896.000000,25.500000,99.000000,10.000000,11.000000,12.000000,27.210000,27.580000,27.910000,20.000000,21.000000,22.000000,23.000000
