ReadableTime,RelativeTime(s),engine_power,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Force_1,Force_2,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3,Torque,engine_force,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4
20:33:39.829,5.387,2.085870,-7.360000,4272.000000,379.000000,114.000000,-163.000000,-116.000000,9475.000000,25.500000,94.800003,-0.075848,-0.075848,10.000000,11.000000,12.000000,27.250000,27.620000,27.980000,-27.317659,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:39.938,5.496,3.020713,-7.360000,4272.000000,379.000000,114.000000,-163.000000,-116.000000,9475.000000,25.500000,94.800003,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.250000,27.620000,27.980000,-17.451236,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:40.051,5.609,1.086399,2.000000,3825.750000,358.000000,107.000000,85.000000,-126.000000,8943.000000,25.500000,89.400002,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.250000,27.620000,27.980000,-17.451236,0.121480,20.000000,21.000000,22.000000,23.000000
20:33:40.157,5.715,1.816853,18.960000,3230.750000,330.000000,99.000000,76.000000,-139.000000,8253.000000,25.000000,82.500000,0.022816,-0.174512,10.000000,11.000000,12.000000,27.250000,27.620000,27.980000,-37.184082,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:40.267,5.825,0.188301,18.960000,3230.750000,330.000000,99.000000,76.000000,-139.000000,8253.000000,25.000000,82.500000,0.022816,-0.174512,10.000000,11.000000,12.000000,27.250000,27.620000,27.980000,-27.317659,0.022816,20.000000,21.000000,22.000000,23.000000
20:33:40.377,5.935,2.370025,45.750000,2582.750000,298.000000,89.000000,64.000000,-155.000000,7434.000000,22.000000,74.300003,-0.075848,-0.075848,10.000000,11.000000,12.000000,27.250000,27.620000,27.980000,-17.451236,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:40.488,6.046,2.370025,45.750000,2582.750000,298.000000,89.000000,64.000000,-155.000000,7434.000000,22.000000,74.300003,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.250000,27.620000,27.980000,-27.317659,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:40.594,6.152,2.077996,83.760000,1917.750000,261.000000,78.000000,51.000000,84.000000,6518.000000,20.000000,65.199997,0.022816,-0.075848,10.000000,11.000000,12.000000,27.250000,27.620000,27.980000,-17.451236,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:40.706,6.264,2.077996,83.760000,1917.750000,261.000000,78.000000,51.000000,84.000000,6518.000000,20.000000,65.199997,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-17.451236,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:40.815,6.373,1.219821,135.510000,1350.750000,222.000000,66.000000,38.000000,65.000000,5541.000000,17.000000,55.400002,0.022816,-0.174512,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-17.451236,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:40.923,6.481,1.219821,135.510000,1350.750000,222.000000,66.000000,38.000000,65.000000,5541.000000,17.000000,55.400002,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-17.451236,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:41.032,6.590,1.448348,100.560000,852.000000,182.000000,55.000000,24.000000,46.000000,4543.000000,14.000000,45.400002,0.022816,-0.174512,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-7.584813,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:41.142,6.700,1.000117,100.560000,852.000000,182.000000,55.000000,24.000000,46.000000,4543.000000,14.000000,45.400002,-0.273177,-0.371841,10.000000,11.000000,12.000000,27.240000,27.610000,27.990000,-27.317659,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:41.251,6.809,0.891145,77.790000,657.750000,162.000000,49.000000,17.000000,37.000000,4048.000000,12.000000,40.500000,0.121480,0.022816,10.000000,11.000000,12.000000,27.240000,27.620000,27.990000,-7.584813,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:41.360,6.918,0.891145,77.790000,657.750000,162.000000,49.000000,17.000000,37.000000,4048.000000,12.000000,40.500000,-0.075848,-0.075848,10.000000,11.000000,12.000000,27.240000,27.620000,27.990000,-17.451236,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:41.469,7.027,0.680687,39.510000,342.750000,124.000000,37.000000,3.000000,19.000000,3092.000000,9.000000,30.900000,-0.075848,-0.075848,10.000000,11.000000,12.000000,27.240000,27.620000,27.990000,-17.451236,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:41.579,7.137,0.680687,39.510000,342.750000,124.000000,37.000000,3.000000,19.000000,3092.000000,9.000000,30.900000,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.240000,27.620000,27.990000,-17.451236,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:41.691,7.249,0.486960,13.110000,138.000000,89.000000,27.000000,-9.000000,2.000000,2212.000000,7.000000,22.100000,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.240000,27.620000,27.990000,-27.317659,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:41.800,7.358,0.317669,-3.810000,30.750000,58.000000,17.000000,-20.000000,-13.000000,1443.000000,4.000000,14.400000,-0.075848,-0.075848,10.000000,11.000000,12.000000,27.240000,27.620000,27.990000,-27.317659,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:41.907,7.465,0.460041,-3.810000,30.750000,58.000000,17.000000,-20.000000,-13.000000,1443.000000,4.000000,14.400000,-0.075848,-0.075848,10.000000,11.000000,12.000000,27.240000,27.610000,27.990000,-17.451236,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:42.016,7.574,0.260148,-12.490000,-12.000000,33.000000,10.000000,-29.000000,-25.000000,816.000000,2.000000,8.200000,0.022816,-0.174512,10.000000,11.000000,12.000000,27.240000,27.610000,27.990000,-37.184082,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:42.127,7.685,0.179638,-12.490000,-12.000000,33.000000,10.000000,-29.000000,-25.000000,816.000000,2.000000,8.200000,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-37.184082,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:42.238,7.796,0.113177,-16.560000,-18.000000,14.000000,4.000000,-35.000000,-33.000000,355.000000,1.000000,3.600000,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-37.184082,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:42.350,7.908,0.043126,-16.560000,-18.000000,14.000000,4.000000,-35.000000,-33.000000,355.000000,1.000000,3.600000,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-27.317659,0.121480,20.000000,21.000000,22.000000,23.000000
20:33:42.453,8.011,0.025505,-17.760000,-18.000000,3.000000,1.000000,-39.000000,-38.000000,80.000000,0.000000,0.800000,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-37.184082,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:42.563,8.121,0.017612,-17.760000,-18.000000,3.000000,1.000000,-39.000000,-38.000000,80.000000,0.000000,0.800000,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-27.317659,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:42.674,8.232,0.003522,-18.000000,-18.000000,1.000000,0.000000,-40.000000,-40.000000,16.000000,0.000000,0.200000,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-27.317659,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:42.782,8.340,0.003522,-18.000000,-18.000000,1.000000,0.000000,-40.000000,-40.000000,16.000000,0.000000,0.200000,-0.174512,-0.273177,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-27.317659,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:42.891,8.449,0.011477,-17.890000,-18.000000,2.000000,0.000000,-39.000000,-39.000000,36.000000,0.000000,0.400000,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-37.184082,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:43.001,8.559,0.056137,-17.040000,-18.000000,10.000000,3.000000,-36.000000,-35.000000,255.000000,1.000000,2.500000,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-37.184082,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:43.110,8.668,0.030977,-17.040000,-18.000000,10.000000,3.000000,-36.000000,-35.000000,255.000000,1.000000,2.500000,-0.174512,-0.273177,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-47.050506,0.121480,20.000000,21.000000,22.000000,23.000000
20:33:43.222,8.780,-0.050287,-14.250000,-16.000000,27.000000,8.000000,-31.000000,-27.000000,663.000000,2.000000,6.600000,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-27.317659,-0.075848,20.000000,21.000000,22.000000,23.000000
20:33:43.330,8.888,0.145956,-14.250000,-16.000000,27.000000,8.000000,-31.000000,-27.000000,663.000000,2.000000,6.600000,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-37.184082,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:43.439,8.997,0.273640,-6.690000,12.000000,50.000000,15.000000,-23.000000,-16.000000,1243.000000,4.000000,12.400000,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-37.184082,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:43.548,9.106,0.273640,-6.690000,12.000000,50.000000,15.000000,-23.000000,-16.000000,1243.000000,4.000000,12.400000,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-37.184082,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:43.662,9.220,-0.149724,6.750000,102.750000,79.000000,24.000000,-12.000000,-2.000000,1974.000000,6.000000,19.700001,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.240000,27.610000,27.980000,-37.184082,-0.075848,20.000000,21.000000,22.000000,23.000000
20:33:43.767,9.325,0.434565,6.750000,102.750000,79.000000,24.000000,-12.000000,-2.000000,1974.000000,6.000000,19.700001,-0.371841,-0.470505,10.000000,11.000000,12.000000,27.250000,27.610000,27.970000,-47.050506,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:43.875,9.433,0.621908,30.750000,270.750000,113.000000,34.000000,0.000000,14.000000,2825.000000,8.000000,28.200001,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.250000,27.610000,27.980000,-27.317659,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:43.987,9.545,0.621908,30.750000,270.750000,113.000000,34.000000,0.000000,14.000000,2825.000000,8.000000,28.200001,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-27.317659,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:44.094,9.652,1.047287,47.360000,402.000000,132.000000,39.000000,6.000000,22.000000,3285.000000,10.000000,32.900002,-0.075848,-0.174512,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-37.184082,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:44.203,9.761,0.723175,47.360000,402.000000,132.000000,39.000000,6.000000,22.000000,3285.000000,10.000000,32.900002,-0.075848,-0.371841,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-37.184082,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:44.313,9.871,0.936055,87.840000,738.000000,170.000000,51.000000,20.000000,41.000000,4252.000000,13.000000,42.500000,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-27.317659,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:44.423,9.981,1.155539,150.750000,1206.750000,210.000000,63.000000,33.000000,60.000000,5249.000000,16.000000,52.500000,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.240000,27.620000,27.980000,-37.184082,0.220145,20.000000,21.000000,22.000000,23.000000
20:33:44.533,10.091,1.673427,150.750000,1206.750000,210.000000,63.000000,33.000000,60.000000,5249.000000,16.000000,52.500000,-0.075848,-0.273177,10.000000,11.000000,12.000000,27.250000,27.620000,27.980000,-47.050506,0.318809,20.000000,21.000000,22.000000,23.000000
20:33:44.641,10.199,1.373042,98.390000,1745.750000,250.000000,75.000000,47.000000,78.000000,6237.000000,19.000000,62.400002,-0.174512,-0.371841,10.000000,11.000000,12.000000,27.250000,27.620000,27.980000,-47.050506,0.220145,20.000000,21.000000,22.000000,23.000000
