ReadableTime,RelativeTime(s),engine_power,Force_1,Force_2,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Torque,engine_force,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3
21:47:14.220,7.093,0.069851,-0.075848,-0.174512,-15.010000,-18.000000,23.000000,7.000000,-32.000000,-29.000000,575.000000,2.000000,5.700000,-27.317659,0.121480,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:14.328,7.201,0.044249,-0.075848,-0.273177,-17.250000,-18.000000,8.000000,2.000000,-37.000000,-36.000000,201.000000,1.000000,2.000000,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:14.440,7.313,0.064081,-0.075848,-0.174512,-17.250000,-18.000000,8.000000,2.000000,-37.000000,-36.000000,201.000000,1.000000,2.000000,-27.317659,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.750000,27.540000
21:47:14.548,7.421,0.003963,-0.075848,-0.273177,-18.000000,-18.000000,1.000000,0.000000,-40.000000,-40.000000,18.000000,0.000000,0.200000,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:14.662,7.535,0.003963,-0.273177,-0.273177,-18.000000,-18.000000,1.000000,0.000000,-40.000000,-40.000000,18.000000,0.000000,0.200000,-47.050506,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:14.767,7.640,0.000121,0.318809,0.022816,-18.000000,-18.000000,0.000000,0.000000,-40.000000,-40.000000,1.000000,0.000000,0.000000,-27.317659,0.121480,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:14.876,7.749,0.025537,0.022816,-0.174512,-17.610000,-18.000000,5.000000,1.000000,-38.000000,-38.000000,116.000000,0.000000,1.200000,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:14.989,7.862,0.025537,-0.371841,-0.470505,-17.610000,-18.000000,5.000000,1.000000,-38.000000,-38.000000,116.000000,0.000000,1.200000,-56.916929,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:15.094,7.967,0.135813,-0.174512,-0.273177,-16.000000,-18.000000,17.000000,5.000000,-34.000000,-32.000000,426.000000,1.000000,4.300000,-56.916929,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:15.204,8.077,0.135813,-0.174512,-0.273177,-16.000000,-18.000000,17.000000,5.000000,-34.000000,-32.000000,426.000000,1.000000,4.300000,-56.916929,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
