ReadableTime,RelativeTime(s),engine_power,Dev1_Force_1,Dev1_Force_2,Dev1_Torque,Dev1_engine_force,Speed,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_SupplyVoltage,ECU_ThrottlePosition,SerialPort1_Modbus_Temperature_Sensor_1,SerialPort1_Modbus_Temperature_Sensor_2,SerialPort1_Modbus_Temperature_Sensor_3,SerialPort2_Modbus_Modbus_slave1_seg1,SerialPort2_Modbus_Modbus_slave1_seg2,SerialPort2_Modbus_Modbus_slave1_seg3,SerialPort2_Modbus_Modbus_slave2_seg1,SerialPort2_Modbus_Modbus_slave2_seg2,SerialPort2_Modbus_Modbus_slave2_seg3,SerialPort2_Modbus_Modbus_slave2_seg4
19:42:05.926,4.525,1.781190,-0.075848,-0.174512,-27.317659,0.220145,8091.000000,24.000000,3062.000000,324.000000,97.000000,73.000000,-142.000000,24.000000,80.900002,26.940000,27.360000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:06.032,4.631,1.939474,-0.075848,-0.273177,-37.184082,0.220145,8810.000000,4.790000,3702.750000,353.000000,106.000000,83.000000,-129.000000,25.500000,88.099998,26.940000,27.360000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:06.141,4.740,1.939474,-0.174512,-0.273177,-37.184082,0.220145,8810.000000,4.790000,3702.750000,353.000000,106.000000,83.000000,-129.000000,25.500000,88.099998,26.940000,27.360000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:06.255,4.854,3.915062,-0.075848,-0.174512,-37.184082,0.417473,9378.000000,-6.000000,4206.750000,375.000000,113.000000,-165.000000,-118.000000,25.500000,93.800003,26.940000,27.360000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:06.362,4.961,1.186863,-0.174512,-0.174512,-37.184082,0.121480,9770.000000,-11.490000,4605.750000,391.000000,117.000000,-159.000000,-110.000000,25.500000,97.699997,26.940000,27.360000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:06.470,5.069,3.114762,0.022816,-0.075848,-27.317659,0.318809,9770.000000,-11.490000,4605.750000,391.000000,117.000000,-159.000000,-110.000000,25.500000,97.699997,26.940000,27.360000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:06.578,5.177,2.195502,-0.075848,-0.174512,-27.317659,0.220145,9973.000000,-13.410000,4812.000000,399.000000,120.000000,-156.000000,-107.000000,25.500000,99.699997,26.940000,27.360000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:06.694,5.293,0.227545,-0.075848,-0.174512,-27.317659,0.022816,9973.000000,-13.410000,4812.000000,399.000000,120.000000,-156.000000,-107.000000,25.500000,99.699997,26.940000,27.360000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:06.798,5.397,3.180755,-0.075848,-0.174512,-47.050506,0.318809,9977.000000,-13.410000,4812.000000,399.000000,120.000000,-156.000000,-106.000000,25.500000,99.800003,26.940000,27.360000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:06.906,5.505,2.196382,-0.174512,-0.273177,-37.184082,0.220145,9977.000000,-13.410000,4812.000000,399.000000,120.000000,-156.000000,-106.000000,25.500000,99.800003,26.940000,27.360000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:07.019,5.618,2.153674,-0.075848,-0.174512,-37.184082,0.220145,9783.000000,-11.490000,4605.750000,392.000000,117.000000,-159.000000,-110.000000,25.500000,97.800003,26.940000,27.360000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:07.132,5.731,2.153674,-0.075848,-0.174512,-17.451236,0.220145,9783.000000,-11.490000,4605.750000,392.000000,117.000000,-159.000000,-110.000000,25.500000,97.800003,26.940000,27.360000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:07.238,5.837,3.065028,-0.075848,-0.174512,-37.184082,0.318809,9614.000000,-9.250000,4404.000000,385.000000,115.000000,-161.000000,-113.000000,25.500000,96.099998,26.940000,27.370000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:07.344,5.943,3.065028,-0.075848,-0.174512,-37.184082,0.318809,9614.000000,-9.250000,4404.000000,385.000000,115.000000,-161.000000,-113.000000,25.500000,96.099998,26.940000,27.370000,27.410000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:07.457,6.056,2.913594,-0.075848,-0.174512,-37.184082,0.318809,9139.000000,-1.440000,3950.750000,366.000000,110.000000,-168.000000,-122.000000,25.500000,91.400002,26.940000,27.370000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:07.567,6.166,2.011901,-0.075848,-0.273177,-37.184082,0.220145,9139.000000,-1.440000,3950.750000,366.000000,110.000000,-168.000000,-122.000000,25.500000,91.400002,26.940000,27.370000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:07.677,6.276,2.709556,0.121480,-0.075848,-27.317659,0.318809,8499.000000,13.110000,3404.000000,340.000000,102.000000,79.000000,-135.000000,25.000000,85.000000,26.940000,27.370000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:07.782,6.381,2.709556,-0.075848,-0.174512,-27.317659,0.318809,8499.000000,13.110000,3404.000000,340.000000,102.000000,79.000000,-135.000000,25.000000,85.000000,26.940000,27.370000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:07.891,6.490,0.176140,-0.075848,-0.174512,-27.317659,0.022816,7720.000000,35.040000,2790.750000,309.000000,93.000000,68.000000,-149.000000,23.000000,77.199997,26.950000,27.370000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
19:42:08.002,6.601,2.178102,-0.075848,-0.174512,-37.184082,0.318809,6832.000000,70.110000,2144.000000,274.000000,82.000000,56.000000,-166.000000,20.000000,68.300003,26.950000,27.370000,27.420000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
