ReadableTime,RelativeTime(s),engine_power,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Force_1,Force_2,Torque,engine_force,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3
19:58:36.550,4.450,2.193961,-13.410000,4812.000000,399.000000,120.000000,-156.000000,-107.000000,9966.000000,25.500000,99.699997,-0.075848,-0.174512,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.650000
19:58:36.657,4.557,2.146630,-10.960000,4538.000000,390.000000,117.000000,-159.000000,-111.000000,9751.000000,25.500000,97.500000,-0.075848,-0.273177,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
19:58:36.766,4.666,2.146630,-10.960000,4538.000000,390.000000,117.000000,-159.000000,-111.000000,9751.000000,25.500000,97.500000,-0.075848,-0.174512,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
19:58:36.882,4.782,3.051638,-8.640000,4404.000000,383.000000,115.000000,-162.000000,-114.000000,9572.000000,25.500000,95.699997,-0.075848,-0.273177,-27.317659,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
19:58:36.985,4.885,2.107224,-8.640000,4404.000000,383.000000,115.000000,-162.000000,-114.000000,9572.000000,25.500000,95.699997,0.022816,-0.174512,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
19:58:37.097,4.997,1.998472,-0.610000,3950.750000,363.000000,109.000000,87.000000,-124.000000,9078.000000,25.500000,90.800003,-0.075848,-0.273177,-47.050506,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
19:58:37.208,5.108,1.854058,14.240000,3345.750000,337.000000,101.000000,78.000000,-136.000000,8422.000000,25.000000,84.199997,-0.075848,-0.174512,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
19:58:37.316,5.216,1.854058,14.240000,3345.750000,337.000000,101.000000,78.000000,-136.000000,8422.000000,25.000000,84.199997,-0.075848,-0.174512,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
19:58:37.425,5.325,1.679703,39.510000,2685.750000,305.000000,92.000000,67.000000,-151.000000,7630.000000,23.000000,76.300003,0.121480,-0.075848,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
19:58:37.535,5.435,0.926895,39.510000,2685.750000,305.000000,92.000000,67.000000,-151.000000,7630.000000,23.000000,76.300003,-0.075848,-0.174512,-47.050506,0.121480,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
19:58:37.644,5.544,1.482013,73.910000,2052.000000,270.000000,81.000000,54.000000,-168.000000,6732.000000,20.000000,67.300003,-0.075848,-0.273177,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
19:58:37.752,5.652,1.482013,73.910000,2052.000000,270.000000,81.000000,54.000000,-168.000000,6732.000000,20.000000,67.300003,-0.075848,-0.174512,-17.451236,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
19:58:37.864,5.764,1.838252,120.990000,1464.000000,231.000000,69.000000,41.000000,70.000000,5766.000000,17.000000,57.700001,0.022816,-0.075848,-27.317659,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
19:58:37.971,5.871,0.131558,120.990000,1464.000000,231.000000,69.000000,41.000000,70.000000,5766.000000,17.000000,57.700001,0.121480,-0.075848,-17.451236,0.022816,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.480000,27.640000
19:58:38.082,5.982,1.049869,114.000000,974.000000,191.000000,57.000000,27.000000,51.000000,4769.000000,14.000000,47.700001,-0.075848,-0.174512,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.480000,27.640000
19:58:38.189,6.089,1.520399,114.000000,974.000000,191.000000,57.000000,27.000000,51.000000,4769.000000,14.000000,47.700001,-0.174512,-0.273177,-37.184082,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.480000,27.640000
19:58:38.303,6.203,0.940458,87.840000,738.000000,171.000000,51.000000,20.000000,41.000000,4272.000000,13.000000,42.700001,-0.075848,-0.174512,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.480000,27.640000
19:58:38.407,6.307,0.940458,87.840000,738.000000,171.000000,51.000000,20.000000,41.000000,4272.000000,13.000000,42.700001,-0.075848,-0.174512,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.480000,27.640000
19:58:38.516,6.416,0.727138,47.360000,402.000000,132.000000,40.000000,6.000000,23.000000,3303.000000,10.000000,33.000000,0.318809,0.121480,-27.317659,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
19:58:38.630,6.530,1.714458,17.750000,177.750000,96.000000,29.000000,-6.000000,6.000000,2403.000000,7.000000,24.000000,-0.075848,-0.273177,-47.050506,0.713466,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
19:58:38.735,6.635,0.766098,17.750000,177.750000,96.000000,29.000000,-6.000000,6.000000,2403.000000,7.000000,24.000000,-0.174512,-0.273177,-56.916929,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
19:58:38.844,6.744,0.353552,-0.610000,45.750000,64.000000,19.000000,-18.000000,-9.000000,1606.000000,5.000000,16.100000,-0.075848,-0.273177,-56.916929,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
19:58:38.956,6.856,-0.280267,-0.610000,45.750000,64.000000,19.000000,-18.000000,-9.000000,1606.000000,5.000000,16.100000,-0.075848,-0.273177,-47.050506,-0.174512,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.650000
19:58:39.063,6.963,0.207816,-10.960000,-6.000000,38.000000,11.000000,-27.000000,-22.000000,944.000000,3.000000,9.400000,-0.075848,-0.273177,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,27.060000,27.470000,27.640000
