ReadableTime,RelativeTime(s),Dev1_Strain_Gauge_1,Dev1_Strain_Gauge_2,Dev1_Temperature_TC1,Dev1_Vibration_X,Dev1_Vibration_Y,SerialPort1_Modbus_Temperature_Sensor_1,SerialPort1_Modbus_Temperature_Sensor_2,SerialPort2_Modbus_Modbus_slave1_seg1,SerialPort2_Modbus_Modbus_slave1_seg2,SerialPort2_Modbus_Modbus_slave1_seg3,SerialPort2_Modbus_Modbus_slave2_seg1,SerialPort2_Modbus_Modbus_slave2_seg2,SerialPort2_Modbus_Modbus_slave2_seg3,SerialPort2_Modbus_Modbus_slave2_seg4
23:44:37.453,5.876,1.581132,-9.100018,-0.003792,-0.018592,-0.023525,26.140000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:37.565,5.988,1.581132,-9.100064,-0.008726,-0.018592,-0.028458,26.140000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:37.672,6.095,1.095992,-9.100041,0.001141,-0.018592,-0.018592,26.140000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:37.780,6.203,1.581132,-9.100018,-0.003792,-0.013659,-0.018592,26.140000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:37.890,6.313,1.581132,-9.099995,0.006074,-0.013659,-0.018592,26.140000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:38.002,6.425,1.581132,-9.100041,-0.003792,-0.018592,-0.018592,26.140000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:38.110,6.533,1.095992,-9.100018,0.001141,-0.013659,-0.018592,26.140000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:38.219,6.642,1.095992,-9.100018,0.001141,-0.013659,-0.018592,26.140000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:38.330,6.753,1.581132,-9.100018,-0.003792,-0.013659,-0.018592,26.140000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:38.437,6.860,2.067245,-9.100041,0.006074,-0.008726,-0.008726,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
